PARKING_ZONE,STALL_TYPE,BLOCK_SIDE,PERMIT_ZONE,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,BRZ_NAME,First_address,Second_address,First_address_Second_address,availability,number_of_spots_left
5194,Parallel,E,5194,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,7A St NE , Centre Av NE ,7A St NE  &  Centre Av NE ,5,5
5281,Parallel,S,5281,21,"0910-1520 MON-FRI, 0910-1750 SAT",240,none,Bridgeland,Centre Av NE , 8A St NE ,Centre Av NE  &  8A St NE ,5,5
5131,Parallel,W,5131,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,9 St NE , 1 Av NE ,9 St NE  &  1 Av NE ,5,5
5197,Parallel,S,5197,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 8 St NE ,1 Av NE  &  8 St NE ,5,5
5185,Parallel,S,5185,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 7A St NE ,1 Av NE  &  7A St NE ,5,5
5126,Parallel,N,5126,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 8 St NE ,1 Av NE  &  8 St NE ,5,5
5140,Parallel,N,5140,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 9 St NE ,1 Av NE  &  9 St NE ,5,5
4057,Parallel,W,4057,8,0910-1750 MON-FRI,120,none,,11 St SW , 14 Av SW ,11 St SW  &  14 Av SW ,5,5
5209,Parallel,S,5209,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 8A St NE ,1 Av NE  &  8A St NE ,5,5
5221,Parallel,S,5221,21,"0910-1520 MON-FRI, 0910-1750 SAT",60,none,Bridgeland,General Av NE , 8A St NE ,General Av NE  &  8A St NE ,5,5
5199,Parallel,S,5199,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 8 St NE ,1 Av NE  &  8 St NE ,5,5
5231,Parallel,S,5231,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 9 St NE ,1 Av NE  &  9 St NE ,5,5
5133,Parallel,N,5133,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 8A St NE ,1 Av NE  &  8A St NE ,5,5
5188,Parallel,W,5188,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,8 St NE , Centre Av NE ,8 St NE  &  Centre Av NE ,5,5
5228,Parallel,E,5228,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,8A St NE , General Av NE ,8A St NE  &  General Av NE ,5,5
5119,Parallel,N,5119,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 7A St NE ,1 Av NE  &  7A St NE ,5,5
5113,Parallel,N,5113,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 7 St NE ,1 Av NE  &  7 St NE ,5,5
5179,Parallel,S,5179,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 7 St NE ,1 Av NE  &  7 St NE ,5,5
5236,Parallel,E,5236,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,9 St NE , Centre Av NE ,9 St NE  &  Centre Av NE ,5,5
5182,Parallel,W,5182,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,7A St NE , Centre Av NE ,7A St NE  &  Centre Av NE ,5,5
4280,Parallel,N,4280,10,0910-1750 MON-SAT,120,none,,16 Av SW , 11 St SW ,16 Av SW  &  11 St SW ,5,5
4309,Angle,N,4309,11,0910-1750 MON-SAT,120,none,,16 Av SW , 9 St SW ,16 Av SW  &  9 St SW ,5,5
4308,Angle,N,4308,11,0910-1750 MON-SAT,240,none,,16 Av SW , 9 St SW ,16 Av SW  &  9 St SW ,5,5
4857,Parallel,N,4857,16,0910-1750 MON-SAT,120,none,4 Street SW,24 Av SW , 2 St SW ,24 Av SW  &  2 St SW ,5,5
4969,Parallel,W,4969,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,Crescent Heights Village,Centre St N , 11 Av NW ,Centre St N  &  11 Av NW ,5,5
4986,Parallel,N,4986,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,none,Crescent Heights Village,11 Av NW , 1 St NW ,11 Av NW  &  1 St NW ,5,5
5054,Parallel,W,5054,22,"1110-1520 MON-FRI, 0910-1750 SAT",540,none,,1 St NW , 15 Av NW ,1 St NW  &  15 Av NW ,5,5
3908,Parallel,N,3908,13,0910-1750 MON-SAT,180,none,4 Street SW,14 Av SW , 4 St SW ,14 Av SW  &  4 St SW ,5,5
3475,Parallel,E,3475,15,0910-1750 MON-FRI,240,none,Victoria Park,3 St SE , 11 Av SE ,3 St SE  &  11 Av SE ,5,5
1179,Parallel,N,1179,5,0910-1750 MON-SAT,180,none,Downtown,3 Av SW , 5 St SW ,3 Av SW  &  5 St SW ,5,5
1179,Parallel,N,1179,5,0910-1750 MON-SAT,180,none,Downtown,3 Av SW , 5 St SW ,3 Av SW  &  5 St SW ,5,5
1214,Parallel,S,1214,5,0910-1750 MON-SAT,120,none,Downtown,2 Av SW , 2 St SW ,2 Av SW  &  2 St SW ,5,5
1201,Parallel,S,1201,5,0910-1750 MON-SAT,120,none,Downtown,2 Av SW , 3 St SW ,2 Av SW  &  3 St SW ,5,5
3464,Parallel,S,3464,15,0910-1750 MON-FRI,240,none,Victoria Park,11 Av SE , Olympic Wy SE ,11 Av SE  &  Olympic Wy SE ,5,5
4684,Parallel,N,4684,14,0910-1750 SAT,120,none,,18 Av SE, Centre St SW ,18 Av SE &  Centre St SW ,5,5
4266,Parallel,N,4266,10,0910-1750 MON-SAT,120,none,,16 Av SW , 12 St SW ,16 Av SW  &  12 St SW ,5,5
1635,Parallel,N,1635,2,0910-1750 MON-SAT,120,none,Downtown,5 Av SE , MacLeod ,5 Av SE  &  MacLeod ,5,5
1201,Parallel,S,1201,5,0910-1750 MON-SAT,120,none,Downtown,2 Av SW , 3 St SW ,2 Av SW  &  3 St SW ,5,5
1172,Parallel,S,1172,5,0910-1750 MON-SAT,180,none,Downtown,2 Av SW , 5 St SW ,2 Av SW  &  5 St SW ,5,5
2323,Parallel,W,2323,2,0910-1750 MON-FRI,120,none,,4 St SE, 7  Av SE ,4 St SE &  7  Av SE ,5,5
2919,Parallel,N,2919,9,0910-1750 MON-FRI,180,none,Beltline,10 Av SW , 5 St SW ,10 Av SW  &  5 St SW ,5,5
3395,Parallel,S,3395,12,0910-1750 MON-FRI,120,PM,,11 Av SW , 2 St SW ,11 Av SW  &  2 St SW ,5,5
3380,Parallel,S,3380,12,0910-1750 MON-FRI,120,PM,,11 Av SW , 4 St SW ,11 Av SW  &  4 St SW ,5,5
3127,Parallel,N,3127,12,0910-1750 MON-FRI,120,PM,Beltline,11 Av SW , 2 St SW ,11 Av SW  &  2 St SW ,5,5
3127,Parallel,N,3127,12,0910-1750 MON-FRI,120,PM,Beltline,11 Av SW , 2 St SW ,11 Av SW  &  2 St SW ,5,5
3392,Parallel,S,3392,12,0910-1750 MON-FRI,120,PM,,11 Av SW , 2 St SW ,11 Av SW  &  2 St SW ,5,5
